id	method	protocol	rank	event_ts
DATA_EVENT.00047796	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047797	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047800	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047801	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047804	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047805	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047808	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047809	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047812	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-07-12
DATA_EVENT.00047813	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-07-12
DATA_EVENT.00047816	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047817	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047820	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047821	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047824	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047825	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047828	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047829	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047832	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-01-14
DATA_EVENT.00047833	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-01-14
DATA_EVENT.00047836	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-01-18
DATA_EVENT.00047837	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-01-18
DATA_EVENT.00047840	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047841	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047844	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047845	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047848	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047849	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047852	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047853	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047856	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047857	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047860	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047861	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047864	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047865	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047868	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047869	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047872	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00047873	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00047876	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047877	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047880	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047881	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047884	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047885	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047888	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047889	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047892	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-07-12
DATA_EVENT.00047893	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-07-12
DATA_EVENT.00047896	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047897	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047900	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047901	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047904	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-09-05
DATA_EVENT.00047905	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-09-05
DATA_EVENT.00047908	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-20
DATA_EVENT.00047909	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-20
DATA_EVENT.00047912	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-20
DATA_EVENT.00047913	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-20
DATA_EVENT.00047916	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-02
DATA_EVENT.00047917	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-02
DATA_EVENT.00047920	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047921	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047924	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-09-06
DATA_EVENT.00047925	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-09-06
DATA_EVENT.00047928	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-09-06
DATA_EVENT.00047929	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-09-06
DATA_EVENT.00047932	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047933	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047936	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-20
DATA_EVENT.00047937	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-20
DATA_EVENT.00047940	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-20
