BioSampleID	DataEventID
GTEX-11DXX-2026-SM-5EGJL	DATA_EVENT.00001036
GTEX-11DXX-2126-SM-5PNYR	DATA_EVENT.00001040
GTEX-11DXX-2326-SM-5Q5A2	DATA_EVENT.00001044
GTEX-11DXX-2426-SM-5GZZW	DATA_EVENT.00001048
GTEX-11DXX-2526-SM-5H119	DATA_EVENT.00001052
GTEX-11DXX-2626-SM-5Q5A3	DATA_EVENT.00001056
GTEX-11DXX-2726-SM-5PNXO	DATA_EVENT.00001060
GTEX-11DXY-0004-SM-6WBTO	DATA_EVENT.00051128
GTEX-11DXY-0006-SM-5NQ8N	DATA_EVENT.00001064
GTEX-11DXY-0008-SM-5QGR4	DATA_EVENT.00001068
GTEX-11DXY-0126-SM-5H11Q	DATA_EVENT.00001072
GTEX-11DXY-0226-SM-5H123	DATA_EVENT.00001076
GTEX-11DXY-0326-SM-5H12F	DATA_EVENT.00001080
GTEX-11DXY-0426-SM-5H12R	DATA_EVENT.00001084
GTEX-11DXY-0526-SM-5EGGQ	DATA_EVENT.00001088
GTEX-11DXY-0826-SM-5EGGR	DATA_EVENT.00001092
GTEX-11DXY-1026-SM-5987V	DATA_EVENT.00001096
GTEX-11DXY-1126-SM-5987W	DATA_EVENT.00001100
GTEX-11DXY-1326-SM-5987Z	DATA_EVENT.00001104
GTEX-11DXY-1426-SM-5N9CN	DATA_EVENT.00001108
GTEX-11DXY-1526-SM-5H129	DATA_EVENT.00001112
GTEX-11DXY-1626-SM-5H12L	DATA_EVENT.00001116
GTEX-11DXY-2026-SM-5N9CZ	DATA_EVENT.00001120
GTEX-11DXY-2326-SM-5GICW	DATA_EVENT.00001124
GTEX-11DXY-2626-SM-5GIE7	DATA_EVENT.00001128
GTEX-11DXY-2726-SM-5GID2	DATA_EVENT.00001132
GTEX-11DXY-3026-SM-5N9CB	DATA_EVENT.00001136
GTEX-11DXY-3126-SM-5N9BT	DATA_EVENT.00001140
GTEX-11DXY-3226-SM-5GIDE	DATA_EVENT.00001144
GTEX-11DXZ-0003-SM-6WBTM	DATA_EVENT.00051132
GTEX-11DXZ-0006-SM-5LZZH	DATA_EVENT.00001148
GTEX-11DXZ-0126-SM-5EGGY	DATA_EVENT.00001152
GTEX-11DXZ-0226-SM-5EGGZ	DATA_EVENT.00001156
GTEX-11DXZ-0326-SM-5EGH1	DATA_EVENT.00001160
GTEX-11DXZ-0426-SM-5987Y	DATA_EVENT.00001164
GTEX-11DXZ-0526-SM-5GU7J	DATA_EVENT.00001168
GTEX-11DXZ-0626-SM-5GU77	DATA_EVENT.00001172
GTEX-11DXZ-0726-SM-5N9C4	DATA_EVENT.00001176
GTEX-11DXZ-0926-SM-5N9CG	DATA_EVENT.00001180
GTEX-11DXZ-1026-SM-5N9D5	DATA_EVENT.00001184
GTEX-11DXZ-1226-SM-5H11L	DATA_EVENT.00001188
GTEX-11DXZ-1326-SM-5H11X	DATA_EVENT.00001192
GTEX-11DXZ-1426-SM-5H12A	DATA_EVENT.00001196
GTEX-11DXZ-1626-SM-5GIDI	DATA_EVENT.00001200
GTEX-11DXZ-1726-SM-5H12M	DATA_EVENT.00001204
GTEX-11DXZ-1826-SM-5H12Y	DATA_EVENT.00001208
GTEX-11DXZ-1926-SM-5GZZL	DATA_EVENT.00001212
GTEX-11DXZ-2026-SM-5987S	DATA_EVENT.00001216
GTEX-11DXZ-2126-SM-59881	DATA_EVENT.00001220
GTEX-11DXZ-2226-SM-5EGH2	DATA_EVENT.00001224
GTEX-11DXZ-2326-SM-5EGGV	DATA_EVENT.00001228
GTEX-11DXZ-2426-SM-5N9DT	DATA_EVENT.00001232
GTEX-11DXZ-2526-SM-5N9BG	DATA_EVENT.00001236
GTEX-11DXZ-2626-SM-59882	DATA_EVENT.00001240
GTEX-11DYG-0004-SM-6WBTB	DATA_EVENT.00051136
GTEX-11DYG-0006-SM-5NQB2	DATA_EVENT.00001244
GTEX-11DYG-0008-SM-5QGR5	DATA_EVENT.00001248
GTEX-11DYG-0126-SM-59883	DATA_EVENT.00001252
GTEX-11DYG-0426-SM-5987J	DATA_EVENT.00001256
GTEX-11DYG-0826-SM-5N9GH	DATA_EVENT.00001260
GTEX-11DYG-0926-SM-5EGGW	DATA_EVENT.00001264
GTEX-11DYG-1026-SM-5A5JQ	DATA_EVENT.00001268
GTEX-11DYG-1226-SM-5N9DC	DATA_EVENT.00001272
GTEX-11DYG-1326-SM-5N9DO	DATA_EVENT.00001276
GTEX-11DYG-1426-SM-5A5JR	DATA_EVENT.00001280
GTEX-11DYG-1526-SM-5A5JS	DATA_EVENT.00001284
GTEX-11DYG-1926-SM-5H12I	DATA_EVENT.00001288
GTEX-11DYG-2026-SM-5EGGX	DATA_EVENT.00001292
GTEX-11DYG-2526-SM-5N9BB	DATA_EVENT.00001296
GTEX-11DYG-2926-SM-5H132	DATA_EVENT.00001300
GTEX-11DYG-3126-SM-5A5L6	DATA_EVENT.00001304
GTEX-11DZ1-0002-SM-6WBTG	DATA_EVENT.00051140
GTEX-11DZ1-0008-SM-5QGR3	DATA_EVENT.00001308
GTEX-11DZ1-0126-SM-5985Q	DATA_EVENT.00001312
GTEX-11DZ1-0226-SM-5A5KF	DATA_EVENT.00001316
GTEX-11DZ1-0326-SM-5N9BN	DATA_EVENT.00001320
GTEX-11DZ1-0426-SM-5H11A	DATA_EVENT.00001324
GTEX-11DZ1-0926-SM-5EQ5R	DATA_EVENT.00001328
GTEX-11DZ1-2026-SM-5A5KG	DATA_EVENT.00001332
GTEX-11DZ1-2426-SM-5GZZX	DATA_EVENT.00001336
GTEX-11DZ1-2726-SM-5A5KH	DATA_EVENT.00001340
GTEX-11DZ1-2926-SM-5A5KI	DATA_EVENT.00001344
GTEX-11EI6-0004-SM-6WBTC	DATA_EVENT.00051144
GTEX-11EI6-0005-SM-5N9GN	DATA_EVENT.00001348
GTEX-11EI6-0008-SM-5QGR7	DATA_EVENT.00001352
GTEX-11EI6-0126-SM-5985R	DATA_EVENT.00001356
GTEX-11EI6-0226-SM-5EQ64	DATA_EVENT.00001360
GTEX-11EI6-0326-SM-5EQ6G	DATA_EVENT.00001364
GTEX-11EI6-0426-SM-5EQ43	DATA_EVENT.00001368
GTEX-11EI6-0526-SM-5985S	DATA_EVENT.00001372
GTEX-11EI6-0626-SM-5985T	DATA_EVENT.00001376
GTEX-11EI6-0726-SM-59866	DATA_EVENT.00001380
GTEX-11EI6-0826-SM-5985V	DATA_EVENT.00001384
GTEX-11EI6-1526-SM-5P9GL	DATA_EVENT.00001388
GTEX-11EI6-2226-SM-5EGJM	DATA_EVENT.00001392
GTEX-11EI6-2426-SM-5PNVS	DATA_EVENT.00001396
GTEX-11EI6-2626-SM-5PNVT	DATA_EVENT.00001400
GTEX-11EI6-2826-SM-5H11D	DATA_EVENT.00001404
GTEX-11EI6-2926-SM-5985U	DATA_EVENT.00001408
GTEX-11EI6-3026-SM-5GZZO	DATA_EVENT.00001412
GTEX-11EI6-3126-SM-5H111	DATA_EVENT.00001416
GTEX-11EM3-0001-SM-5Q5BD	DATA_EVENT.00001420
GTEX-11EM3-0004-SM-6WBUK	DATA_EVENT.00051148
GTEX-11EM3-0005-SM-5N9DK	DATA_EVENT.00001424
GTEX-11EM3-0126-SM-5985K	DATA_EVENT.00001428
GTEX-11EM3-0226-SM-5985Y	DATA_EVENT.00001432
GTEX-11EM3-0326-SM-5A5KJ	DATA_EVENT.00001436
GTEX-11EM3-0426-SM-5N9BZ	DATA_EVENT.00001440
GTEX-11EM3-0526-SM-5H12N	DATA_EVENT.00001444
GTEX-11EM3-0626-SM-5H12Z	DATA_EVENT.00001448
GTEX-11EM3-0726-SM-5GZZM	DATA_EVENT.00001452
GTEX-11EM3-0826-SM-5N9CC	DATA_EVENT.00001456
GTEX-11EM3-0926-SM-5A5KK	DATA_EVENT.00001460
GTEX-11EM3-1026-SM-5A5KL	DATA_EVENT.00001464
GTEX-11EM3-1126-SM-5A5KM	DATA_EVENT.00001468
GTEX-11EM3-1226-SM-5N9DD	DATA_EVENT.00001472
GTEX-11EM3-1326-SM-5N9C6	DATA_EVENT.00001476
GTEX-11EM3-1526-SM-5A5KN	DATA_EVENT.00001480
GTEX-11EM3-1626-SM-5N9CO	DATA_EVENT.00001484
GTEX-11EM3-1726-SM-5N9D1	DATA_EVENT.00001488
GTEX-11EM3-1826-SM-5A5KO	DATA_EVENT.00001492
GTEX-11EM3-1926-SM-5987U	DATA_EVENT.00001496
GTEX-11EM3-2126-SM-5H11M	DATA_EVENT.00001500
GTEX-11EM3-2226-SM-5H11Y	DATA_EVENT.00001504
GTEX-11EM3-2326-SM-5H12B	DATA_EVENT.00001508
GTEX-11EM3-2426-SM-59861	DATA_EVENT.00001512
GTEX-11EMC-0002-SM-5Q5DO	DATA_EVENT.00001516
GTEX-11EMC-0004-SM-6WBUA	DATA_EVENT.00051152
GTEX-11EMC-0006-SM-5O9DN	DATA_EVENT.00001520
GTEX-11EMC-0008-SM-5Q5DR	DATA_EVENT.00001524
GTEX-11EMC-0126-SM-5EGKV	DATA_EVENT.00001528
GTEX-11EMC-0226-SM-5EGLP	DATA_EVENT.00001532
GTEX-11EMC-0526-SM-5EGJN	DATA_EVENT.00001536
GTEX-11EMC-0726-SM-5EGJO	DATA_EVENT.00001540
GTEX-11EMC-0826-SM-59862	DATA_EVENT.00001544
GTEX-11EMC-0926-SM-59863	DATA_EVENT.00001548
