FileID	DatasetID
FILE_ID.00000598	DATASET.00000001
FILE_ID.00000599	DATASET.00000003
FILE_ID.00000602	DATASET.00000001
FILE_ID.00000603	DATASET.00000003
FILE_ID.00000606	DATASET.00000001
FILE_ID.00000607	DATASET.00000003
FILE_ID.00000610	DATASET.00000001
FILE_ID.00000611	DATASET.00000003
FILE_ID.00000614	DATASET.00000001
FILE_ID.00000615	DATASET.00000003
FILE_ID.00000618	DATASET.00000001
FILE_ID.00000619	DATASET.00000003
FILE_ID.00000622	DATASET.00000001
FILE_ID.00000623	DATASET.00000003
FILE_ID.00000626	DATASET.00000001
FILE_ID.00000627	DATASET.00000003
FILE_ID.00000630	DATASET.00000001
FILE_ID.00000631	DATASET.00000003
FILE_ID.00000634	DATASET.00000001
FILE_ID.00000635	DATASET.00000003
FILE_ID.00000638	DATASET.00000001
FILE_ID.00000639	DATASET.00000003
FILE_ID.00000642	DATASET.00000001
FILE_ID.00000643	DATASET.00000003
FILE_ID.00000646	DATASET.00000001
FILE_ID.00000647	DATASET.00000003
FILE_ID.00000650	DATASET.00000001
FILE_ID.00000651	DATASET.00000003
FILE_ID.00000654	DATASET.00000001
FILE_ID.00000655	DATASET.00000003
FILE_ID.00000658	DATASET.00000001
FILE_ID.00000659	DATASET.00000003
FILE_ID.00000662	DATASET.00000001
FILE_ID.00000663	DATASET.00000003
FILE_ID.00000666	DATASET.00000001
FILE_ID.00000667	DATASET.00000003
FILE_ID.00000670	DATASET.00000001
FILE_ID.00000671	DATASET.00000003
FILE_ID.00000674	DATASET.00000001
FILE_ID.00000675	DATASET.00000003
FILE_ID.00000678	DATASET.00000001
FILE_ID.00000679	DATASET.00000003
FILE_ID.00000682	DATASET.00000001
FILE_ID.00000683	DATASET.00000003
FILE_ID.00000686	DATASET.00000001
FILE_ID.00000687	DATASET.00000003
FILE_ID.00000690	DATASET.00000001
FILE_ID.00000691	DATASET.00000003
FILE_ID.00000694	DATASET.00000001
FILE_ID.00000695	DATASET.00000003
FILE_ID.00000698	DATASET.00000001
FILE_ID.00000699	DATASET.00000003
FILE_ID.00000702	DATASET.00000001
FILE_ID.00000703	DATASET.00000003
FILE_ID.00000706	DATASET.00000001
FILE_ID.00000707	DATASET.00000003
FILE_ID.00000710	DATASET.00000001
FILE_ID.00000711	DATASET.00000003
FILE_ID.00000714	DATASET.00000001
